LoiGiaiID,improvedParam,preservedParam,principleId,priority
554,2,27,28,0
555,2,27,35,0
556,2,27,7,0
557,2,27,31,0
558,2,27,13,0
559,2,27,39,0
560,2,27,32,0
561,2,28,10,0
562,2,28,15,0
563,2,28,35,0
564,2,28,3,0
565,2,28,32,0
566,2,28,7,0
567,2,28,26,0
568,2,29,14,0
569,2,29,35,0
570,2,29,31,0
571,2,29,1,0
572,2,29,7,0
573,2,29,9,0
574,2,30,30,0
575,2,30,40,0
576,2,30,13,0
577,2,30,19,0
578,2,30,21,0
579,2,30,24,0
580,2,31,40,0
581,2,31,3,0
582,2,31,39,0
583,2,31,2,0
584,2,31,28,0
585,2,31,31,0
586,2,31,8,0
587,2,31,15,0
588,2,32,35,0
589,2,32,3,0
590,2,32,19,0
591,2,32,15,0
592,2,32,2,0
593,2,32,1,0
594,2,32,28,0
595,2,32,40,0
596,2,33,2,0
597,2,33,24,0
598,2,33,13,0
599,2,33,3,0
600,2,33,17,0
601,2,33,39,0
602,2,34,13,0
603,2,34,1,0
604,2,34,14,0
605,2,34,4,0
606,2,34,32,0
607,2,34,26,0
608,2,34,6,0
609,2,35,10,0
610,2,35,2,0
611,2,35,40,0
612,2,35,28,0
613,2,35,14,0
614,2,35,29,0
615,2,35,25,0
616,2,36,2,0
617,2,36,17,0
618,2,36,13,0
619,2,36,27,0
620,2,36,25,0
621,2,36,11,0
622,2,37,28,0
623,2,37,2,0
624,2,37,17,0
625,2,37,30,0
626,2,37,4,0
627,2,37,13,0
628,2,37,14,0
629,2,38,40,0
630,2,38,9,0
631,2,38,3,0
632,2,38,31,0
633,2,38,7,0
634,2,38,14,0
635,2,39,7,0
636,2,39,31,0
637,2,39,3,0
638,2,39,4,0
639,2,39,1,0
640,2,39,32,0
641,2,40,17,0
642,2,40,37,0
643,2,40,31,0
644,2,40,3,0
645,2,40,19,0
646,2,40,9,0
647,2,40,4,0
648,2,40,34,0
649,2,41,35,0
650,2,41,8,0
651,2,41,9,0
652,2,41,28,0
653,2,41,1,0
654,2,41,10,0
655,2,41,3,0
656,2,41,40,0
657,2,42,10,0
658,2,42,35,0
659,2,42,17,0
660,2,42,29,0
661,2,42,7,0
662,2,42,16,0
663,2,42,25,0
664,2,43,2,0
665,2,43,26,0
666,2,43,30,0
667,2,43,12,0
668,2,43,23,0
669,2,43,13,0
670,2,44,28,0
671,2,44,35,0
672,2,44,15,0
673,2,44,4,0
674,2,44,29,0
675,2,44,3,0
676,2,44,1,0
677,2,44,19,0
678,2,44,25,0
679,2,45,13,0
680,2,45,4,0
681,2,45,17,0
682,2,45,14,0
683,2,45,26,0
684,2,45,10,0
685,2,45,1,0
686,2,45,28,0
687,2,45,9,0
688,2,46,17,0
689,2,46,25,0
690,2,46,19,0
691,2,46,13,0
692,2,46,10,0
693,2,46,3,0
694,2,46,2,0
695,2,47,3,0
696,2,47,35,0
697,2,47,24,0
698,2,47,28,0
699,2,47,7,0
700,2,48,2,0
701,2,48,26,0
702,2,48,8,0
703,2,48,3,0
704,2,48,35,0
705,2,48,40,0
706,2,48,14,0
707,2,49,25,0
708,2,49,17,0
709,2,49,37,0
710,2,49,28,0
711,2,49,32,0
712,2,49,15,0
713,2,49,18,0
714,2,50,26,0
715,2,50,28,0
716,2,50,18,0
717,2,50,37,0
718,2,50,3,0
719,2,50,4,0
720,3,1,31,0
721,3,1,4,0
722,3,1,17,0
723,3,1,15,0
724,3,1,8,0
725,3,1,34,0
726,3,1,29,0
727,3,1,30,0
